Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
OutlineColor,Color,線の色,Outline Color,轮廓颜色,輪廓顏色,윤곽선 색상,Color de contorno,لون المخطط التفصيلي,Warna Outline,
OutlineColor_Desc,Setting Description,輪郭線の色を設定します。,Sets the color of the outline.,设置轮廓的颜色。,設定輪廓的顏色。,윤곽선의 색상을 설정합니다.,Establece el color del contorno.,يحدد لون المخطط التفصيلي.,Mengatur warna outline.,
OutlineWidth,Width,線の太さ,Width,宽度,寬度,두께,Ancho,عرض,Lebar Garis,
OutlineWidth_Desc,Setting Description,輪郭線の太さ（判定の広さ）を設定します。,Sets the width of the outline.,设置轮廓的宽度。,設定輪廓的寬度。,윤곽선의 두께를 설정합니다.,Establece el ancho del contorno.,يحدد عرض المخطط التفصيلي.,Mengatur ketebalan garis outline.,
OutlinePower,Power,線のくっきり度,Threshold,阈值,閾值,임계값,Umbral,عتبة,Ambang,
OutlinePower_Desc,Setting Description,輪郭線の境界をどれくらいはっきりさせるかを設定します。,Sets the threshold for outline detection.,设置轮廓检测的阈值。,設定輪廓檢測的閾值。,윤곽선 감지 임계값을 설정합니다.,Establece el umbral para la detección de contornos.,يحدد عتبة اكتشاف المخطط التفصيلي.,Mengatur seberapa jelas batas outline.,
Group_Fog,Fog,距離フォグ,Fog,雾,霧,안개,Niebla,ضباب,Kabut,
FogEnabled,Enable Fog,距離フォグを有効にする,Enable Fog,启用雾,啟用霧,안개 활성화,Habilitar niebla,تمكين الضباب,Aktifkan Kabut,
FogEnabled_Desc,Setting Description,カメラからの距離に応じて色を混ぜ、奥行きを出します。,Enables fog effect.,启用雾效。,啟用霧效。,안개 효과를 활성화합니다.,Habilita el efecto de niebla.,يمكّن تأثير الضباب.,Mengaktifkan efek kabut.,
FogColor,Color,フォグの色,Fog Color,雾颜色,霧顏色,안개 색상,Color de niebla,لون الضباب,Warna Kabut,
FogColor_Desc,Setting Description,遠くに見える霧の色を設定します。,Sets the color of the fog.,设置雾的颜色。,設定霧的顏色。,안개 색상을 설정합니다.,Establece el color de la niebla.,يحدد لون الضباب.,Mengatur warna kabut.,
FogStart,Start,開始距離,Start,开始距离,開始距離,시작 거리,Inicio,بداية,Mulai,
FogStart_Desc,Setting Description,フォグがかかり始めるカメラからの距離を設定します。,Sets the distance where fog starts.,设置雾开始的距离。,設定霧開始的距離。,안개가 시작되는 거리를 설정합니다.,Establece la distancia donde comienza la niebla.,يحدد المسافة التي يبدأ عندها الضباب.,Mengatur jarak mulai kabut dari kamera.,
FogEnd,End,最大距離,End,结束距离,結束距離,종료 거리,Fin,نهاية,Akhir,
FogEnd_Desc,Setting Description,フォグが完全に濃くなる距離を設定します。,Sets the distance where fog is completely opaque.,设置雾完全不透明的距离。,設定霧完全不透明的距離。,안개가 완전히 불투명해지는 거리를 설정합니다.,Establece la distancia donde la niebla es completamente opaca.,يحدد المسافة التي يكون فيها الضباب معتمًا تمامًا.,Mengatur jarak di mana kabut sepenuhnya pekat.,
FogDensity,Density,濃さ,Density,密度,密度,밀도,Densidad,كثافة,Kepadatan,
FogDensity_Desc,Setting Description,フォグの濃さを調整します。,Sets the density of the fog.,设置雾的密度。,設定霧的密度。,안개의 밀도를 설정합니다.,Establece la densidad de la niebla.,يحدد كثافة الضباب.,Mengatur kepadatan kabut.,
Group_PostEffect,Effects,画面効果,Effects,特效,特效,효과,Efectos,تأثيرات,Efek,
Saturation,Saturation,鮮やかさ,Saturation,饱和度,飽和度,채도,Saturación,تشبع,Saturasi,
Saturation_Desc,Setting Description,色の鮮やかさを調整します。0で白黒になります。,Adjusts the color saturation.,调整色彩饱和度。,調整色彩飽和度。,채도를 조정합니다.,Ajusta la saturación del color.,يضبط تشبع اللون.,Mengatur saturasi warna. 0 menjadi hitam putih.,
Contrast,Contrast,コントラスト,Contrast,对比度,對比度,대비,Contraste,تباين,Kontras,
Contrast_Desc,Setting Description,明るい所と暗い所の差を調整します。,Adjusts the contrast.,调整对比度。,調整對比度。,대비를 조정합니다.,Ajusta el contraste.,يضبط التباين.,Mengatur kontras.,
Gamma,Gamma,ガンマ補正,Gamma,伽马,伽馬,감마,Gamma,غاما,Gamma,
Gamma_Desc,Setting Description,中間色の明るさを調整します。,Adjusts the gamma correction.,调整伽马校正。,調整伽馬校正。,감마 보정을 조정합니다.,Ajusta la corrección gamma.,يضبط تصحيح غاما.,Mengatur koreksi gamma.,
BrightnessPost,Brightness,明るさ補正,Brightness,亮度,亮度,밝기,Brillo,سطوع,Kecerahan,
BrightnessPost_Desc,Setting Description,画面全体の明るさを調整します。,Adjusts the brightness.,调整亮度。,調整亮度。,밝기를 조정합니다.,Ajusta el brillo.,يضبط السطوع.,Mengatur kecerahan keseluruhan layar.,
Group_Vignette,Vignette,周辺減光,Vignette,暗角,暗角,비네트,Viñeta,تظليل,Vignette,
VignetteEnabled,Enable,周辺減光を有効にする,Enable,启用,啟用,활성화,Habilitar,تمكين, Aktifkan,
VignetteEnabled_Desc,Setting Description,画面の四隅を暗くして、雰囲気を変えます。,Enables vignette effect.,启用暗角效果。,啟用暗角效果。,비네트 효과를 활성화합니다.,Habilita el efecto de viñeta.,يمكّن تأثير التظليل.,Menggelapkan sudut layar untuk suasana.,
VignetteColor,Color,減光色,Vignette Color,暗角颜色,暗角顏色,비네트 색상,Color de viñeta,لون التظليل,Warna Vignette,
VignetteColor_Desc,Setting Description,四隅に重ねる色を設定します。,Sets the color of the vignette.,设置暗角的颜色。,設定暗角的顏色。,비네트의 색상을 설정합니다.,Establece el color de la viñeta.,يحدد لون التظليل.,Mengatur warna vignette.,
VignetteIntensity,Intensity,濃さ,Intensity,强度,強度,강도,Intensidad,كثافة,Intensitas,
VignetteIntensity_Desc,Setting Description,減光の強さを設定します。,Sets the intensity of the vignette.,设置暗角的强度。,設定暗角的強度。,비네트의 강도를 설정합니다.,Establece la intensidad de la viñeta.,يحدد كثافة التظليل.,Mengatur intensitas vignette.,
VignetteRadius,Radius,範囲,Radius,半径,半徑,반지름,Radio,نصف القطر,Radius,
VignetteRadius_Desc,Setting Description,減光を開始する中心からの範囲を設定します。,Sets the radius of the vignette.,设置暗角的半径。,設定暗角的半徑。,비네트의 반지름을 설정합니다.,Establece el radio de la viñeta.,يحدد نصف قطر التظليل.,Mengatur radius vignette.,
VignetteSoftness,Softness,ぼかし,Softness,柔和度,柔和度,부드러움,Suavidad,نعومة,Kelunakan,
VignetteSoftness_Desc,Setting Description,減光の境界の滑らかさを設定します。,Sets the softness of the vignette edges.,设置暗角边缘的柔和度。,設定暗角邊緣的柔和度。,비네트 가장자리의 부드러움을 설정합니다.,Establece la suavidad de los bordes de la viñeta.,يحدد نعومة حواف التظليل.,Mengatur kelembutan tepi vignette.,
Group_Scanline,Scanline,走査線,Scanline,扫描线,掃描線,스캔라인,Línea de escaneo,خط المسح,Scanline,
ScanlineEnabled,Enable,走査線を有効にする,Enable,启用,啟用,활성화,Habilitar,تمكين,Aktifkan,
ScanlineEnabled_Desc,Setting Description,ブラウン管テレビのような横縞模様を追加します。,Enables scanline effect.,启用扫描线效果。,啟用掃描線效果。,스캔라인 효과를 활성화합니다.,Habilita el efecto de línea de escaneo.,يمكّن تأثير خط المسح.,Menambahkan garis horizontal seperti TV tabung.,
ScanlineIntensity,Intensity,線の濃さ,Intensity,强度,強度,강도,Intensidad,كثافة,Intensitas,
ScanlineIntensity_Desc,Setting Description,走査線の濃さを設定します。,Sets the intensity of the scanlines.,设置扫描线的强度。,設定掃描線的強度。,스캔라인의 강도를 설정합니다.,Establece la intensidad de las líneas de escaneo.,يحدد كثافة خطوط المسح.,Mengatur kegelapan garis scanline.,
ScanlineFrequency,Frequency,線の細かさ,Frequency,频率,頻率,주파수,Frecuencia,تردد,Frekuensi,
ScanlineFrequency_Desc,Setting Description,走査線の密度（本数）を設定します。,Sets the frequency (number of lines) of the scanlines.,设置扫描线的频率（行数）。,設定掃描線的頻率（行數）。,스캔라인의 주파수(라인 수)를 설정합니다.,Establece la frecuencia (número de líneas) de las líneas de escaneo.,يحدد تردد (عدد خطوط) خطوط المسح.,Mengatur kepadatan garis scanline.,
Group_Artistic,Artistic,アートフィルタ,Artistic,艺术,藝術,예술,Artístico,فني,Artistik,
ChromAbEnabled,Chromatic Aberration,色収差（色ずれ）,Chromatic Aberration,色差,色差,색수차,Aberración cromática,انحراف لوني,Aberrasi kromatik,
ChromAbEnabled_Desc,Setting Description,色がずれて見えるレンズ効果を追加します。,Enables chromatic aberration effect.,启用色差效果。,啟用色差效果。,색수차 효과를 활성화합니다.,Habilita el efecto de aberración cromática.,يمكّن تأثير الانحراف اللوني.,Mengaktifkan efek aberasi kromatik.,
ChromAbIntensity,CA Intensity,ずれの強さ,CA Intensity,色差强度,色差強度,색수차 강도,Intensidad CA,كثافة CA,Intensitas CA,
ChromAbIntensity_Desc,Setting Description,色のずれ幅を設定します。,Sets the intensity of chromatic aberration.,设置色差的强度。,設定色差的強度。,색수차의 강도를 설정합니다.,Establece la intensidad de la aberración cromática.,يحدد كثافة الانحراف اللوني.,Mengatur intensitas aberasi kromatik.,
MonochromeEnabled,Monochrome,単色化（モノクロ）,Monochrome,单色,單色,흑백,Monocromo,أحادي اللون,Monokrom,
MonochromeEnabled_Desc,Setting Description,画面を単色（モノクロ）にします。,Enables monochrome effect.,启用单色效果。,啟用單色效果。,단색 효과를 활성화합니다.,Habilita el efecto monocromático.,يمكّن التأثير الأحادي اللون.,Mengubah layar menjadi monokrom.,
MonochromeColor,Mono Color,フィルター色,Mono Color,单色颜色,單色顏色,흑백 색상,Color mono,لون أحادي,Warna Mono,
MonochromeColor_Desc,Setting Description,単色化する際の色味を設定します。,Sets the color for monochrome effect.,设置单色效果的颜色。,設定單色效果的顏色。,단색 효과의 색상을 설정합니다.,Establece el color para el efecto monocromático.,يحدد اللون للتأثير الأحادي اللون.,Mengatur warna filter monokrom.,
MonochromeMix,Mono Mix,適用度,Mono Mix,混合量,混合量,혼합량,Mezcla mono,مزج أحادي,Campuran Mono,
MonochromeMix_Desc,Setting Description,元の色と単色フィルターの混ざり具合を設定します。,Sets the mix amount of monochrome effect.,设置单色效果的混合量。,設定單色效果的混合量。,단색 효과의 혼합량을 설정합니다.,Establece la cantidad de mezcla del efecto monocromático.,يحدد مقدار المزج للتأثير الأحادي اللون.,Mengatur seberapa banyak campuran antara warna asli dan filter mono.,
PosterizeEnabled,Posterize,ポスタライズ（階調化）,Posterize,色调分离,色調分離,포스터화,Posterizar,ملصق,Posterize,
PosterizeEnabled_Desc,Setting Description,色数を減らしてイラスト調にします。,Enables posterization effect.,启用色调分离效果。,啟用色調分離效果。,포스터화 효과를 활성화합니다.,Habilita el efecto de posterización.,يمكّن تأثير الملصق.,Mengurangi jumlah warna untuk efek ilustrasi.,
PosterizeLevels,Levels,色の段階数,Levels,色阶数,色階數,단계 수,Niveles,مستويات,Tingkat,
PosterizeLevels_Desc,Setting Description,色の段階数を設定します。数値が小さいほど極端な色使いになります。,Sets the number of levels for posterization.,设置色调分离的色阶数。,設定色調分離的色階數。,포스터화의 단계 수를 설정합니다.,Establece el número de niveles para la posterización.,يحدد عدد المستويات للملصق.,Mengatur jumlah tingkat posterize.,
WorldId_Desc,Setting Description,設定を切り替えるワールドIDを指定します。,Specifies the World ID to switch settings.,指定要切换设置的世界ID。,指定要切換設定的世界ID。,설정을 전환할 월드 ID를 지정합니다.,Especifica el ID del mundo para cambiar la configuración.,يحدد معرف العالم لتبديل الإعدادات.,Menentukan ID dunia untuk mengganti pengaturan.,
VCRedist_Title,Message Title,Visual C++ 再頒布可能パッケージ不足,Visual C++ Redistributable Missing,Visual C++ 可再发行组件丢失,Visual C++ 可轉散發套件遺失,Visual C++ 재배포 가능 패키지 누락,Falta Visual C++ Redistributable,Visual C++ Redistributable مفقود,Visual C++ Redistributable Hilang,
VCRedist_Message,Message Body,Visual C++ 2015-2022 再頒布可能パッケージ (x64) がインストールされていません。機能が正しく動作しない可能性があります。インストールしてください。,Visual C++ 2015-2022 Redistributable (x64) is not installed. Some features may not work correctly. Please install it.,未安装 Visual C++ 2015-2022 可再发行组件 (x64)。某些功能可能无法正常工作。请安装。,未安裝 Visual C++ 2015-2022 可轉散發套件 (x64)。某些功能可能無法正常運作。請安裝。,Visual C++ 2015-2022 재배포 가능 패키지(x64)가 설치되어 있지 않습니다. 일부 기능이 올바르게 작동하지 않을 수 있습니다. 설치해 주십시오.,Visual C++ 2015-2022 Redistributable (x64) no está instalado. Es posible que algunas funciones no funcionen correctamente. Por favor instálelo.,Visual C++ 2015-2022 Redistributable (x64) غير مثبت. قد لا تعمل بعض الميزات بشكل صحيح. الرجاء تثبيته.,Visual C++ 2015-2022 Redistributable (x64) belum terpasang. Beberapa fitur mungkin tidak berfungsi. Harap pasang.,
Filter_3DModelFiles,Filter Label,3D モデルファイル,3D Model Files,3D 模型文件,3D 模型檔案,3D 모델 파일,Archivos de modelo 3D,ملفات نموذج 3D,File Model 3D,
Filter_BlenderDeprecated,Filter Label,Blender ファイル (非推奨),Blender File (Deprecated),Blender 文件 (不推荐),Blender 檔案 (不推薦),Blender 파일 (비권장),Archivo Blender (Obsoleto),ملف Blender (مهمل),File Blender (Tidak Disarankan),
Filter_ShaderFiles,Filter Label,シェーダーファイル,Shader Files,着色器文件,著色器檔案,셰이더 파일,Archivos de sombreador,ملفات التظليل,File Shader,
Group_Assimp,Group Title,Assimp設定,Assimp Settings,Assimp设置,Assimp設定,Assimp 설정,Configuración de Assimp,إعدادات Assimp,Pengaturan Assimp,
Assimp_Obj,Setting Label,OBJをAssimpで読み込む,Load OBJ with Assimp,使用 Assimp 加载 OBJ,使用 Assimp 載入 OBJ,Assimp로 OBJ 로드,Cargar OBJ con Assimp,تحميل OBJ باستخدام Assimp,Muat OBJ dengan Assimp,
Assimp_Obj_Desc,Setting Description,OBJファイルの読み込みにAssimpを使用します。,Uses Assimp to load OBJ files.,使用 Assimp 读取 OBJ 文件。,使用 Assimp 讀取 OBJ 檔案。,OBJ 파일 로드에 Assimp를 사용합니다.,Utiliza Assimp para cargar archivos OBJ.,يستخدم Assimp لتحميل ملفات OBJ.,Menggunakan Assimp untuk memuat file OBJ.,
Assimp_Glb,Setting Label,GLBをAssimpで読み込む,Load GLB with Assimp,使用 Assimp 加载 GLB,使用 Assimp 載入 GLB,Assimp로 GLB 로드,Cargar GLB con Assimp,تحميل GLB باستخدام Assimp,Muat GLB dengan Assimp,
Assimp_Glb_Desc,Setting Description,GLB/GLTFファイルの読み込みにAssimpを使用します。,Uses Assimp to load GLB/GLTF files.,使用 Assimp 读取 GLB/GLTF 文件。,使用 Assimp 讀取 GLB/GLTF 檔案。,GLB/GLTF 파일 로드에 Assimp를 사용합니다.,Utiliza Assimp para cargar archivos GLB/GLTF.,يستخدم Assimp لتحميل ملفات GLB/GLTF.,Menggunakan Assimp untuk memuat file GLB/GLTF.,
Assimp_Ply,Setting Label,PLYをAssimpで読み込む,Load PLY with Assimp,使用 Assimp 加载 PLY,使用 Assimp 載入 PLY,Assimp로 PLY 로드,Cargar PLY con Assimp,تحميل PLY باستخدام Assimp,Muat PLY dengan Assimp,
Assimp_Ply_Desc,Setting Description,PLYファイルの読み込みにAssimpを使用します。,Uses Assimp to load PLY files.,使用 Assimp 读取 PLY 文件。,使用 Assimp 讀取 PLY 檔案。,PLY 파일 로드에 Assimp를 사용합니다.,Utiliza Assimp para cargar archivos PLY.,يستخدم Assimp لتحميل ملفات PLY.,Menggunakan Assimp untuk memuat file PLY.,
Assimp_Stl,Setting Label,STLをAssimpで読み込む,Load STL with Assimp,使用 Assimp 加载 STL,使用 Assimp 載入 STL,Assimp로 STL 로드,Cargar STL con Assimp,تحميل STL باستخدام Assimp,Muat STL dengan Assimp,
Assimp_Stl_Desc,Setting Description,STLファイルの読み込みにAssimpを使用します。,Uses Assimp to load STL files.,使用 Assimp 读取 STL 文件。,使用 Assimp 讀取 STL 檔案。,STL 파일 로드에 Assimp를 사용합니다.,Utiliza Assimp para cargar archivos STL.,يستخدم Assimp لتحميل ملفات STL.,Menggunakan Assimp untuk memuat file STL.,
Assimp_3mf,Setting Label,3MFをAssimpで読み込む,Load 3MF with Assimp,使用 Assimp 加载 3MF,使用 Assimp 載入 3MF,Assimp로 3MF 로드,Cargar 3MF con Assimp,تحميل 3MF باستخدام Assimp,Muat 3MF dengan Assimp,
Assimp_3mf_Desc,Setting Description,3MFファイルの読み込みにAssimpを使用します。,Uses Assimp to load 3MF files.,使用 Assimp 读取 3MF 文件。,使用 Assimp 讀取 3MF 檔案。,3MF 파일 로드에 Assimp를 사용합니다.,Utiliza Assimp para cargar archivos 3MF.,يستخدم Assimp لتحميل ملفات 3MF.,Menggunakan Assimp untuk memuat file 3MF.,
Assimp_Pmx,Setting Label,PMXをAssimpで読み込む,Load PMX with Assimp,使用 Assimp 加载 PMX,使用 Assimp 載入 PMX,Assimp로 PMX 로드,Cargar PMX con Assimp,تحميل PMX باستخدام Assimp,Muat PMX dengan Assimp,
Assimp_Pmx_Desc,Setting Description,PMXファイルの読み込みにAssimpを使用します。,Uses Assimp to load PMX files.,使用 Assimp 读取 PMX 文件。,使用 Assimp 讀取 PMX 檔案。,PMX 파일 로드에 Assimp를 사용합니다.,Utiliza Assimp para cargar archivos PMX.,يستخدم Assimp لتحميل ملفات PMX.,Menggunakan Assimp untuk memuat file PMX.,
LayerSettings,Window Title,レイヤー,Layers,图层,圖層,레이어,Capas,طبقات,Layer,
Layer_Add,Tooltip,レイヤー追加,Add Layer,添加图层,新增圖層,레이어 추가,Añadir capa,إضافة طبقة,Tambah Layer,
Layer_Remove,Tooltip,レイヤー削除,Remove Layer,删除图层,刪除圖層,레이어 삭제,Eliminar capa,إزالة طبقة,Hapus Layer,
Layer_MoveUp,Tooltip,上へ移動,Move Up,上移,上移,위로 이동,Mover arriba,تحريك لأعلى,Pindah ke Atas,
Layer_MoveDown,Tooltip,下へ移動,Move Down,下移,下移,아래로 이동,Mover abajo,تحريك لأسفل,Pindah ke Bawah,
Layer_New,New Layer,新規レイヤー,New Layer,新建图层,新建圖層,새 레이어,Nueva capa,طبقة جديدة,Layer Baru,
UpdateNotificationTitle,Message Title,ObjLoader 更新通知,ObjLoader Update Notification,ObjLoader 更新通知,ObjLoader 更新通知,ObjLoader 업데이트 알림,Notificación de actualización de ObjLoader,إشعار تحديث ObjLoader,Pemberitahuan Pembaruan ObjLoader,
UpdateNotificationMessage,Message Body,新しいバージョン ({0}) が利用可能です。\n配布ページを開きますか？,A new version ({0}) is available.\nDo you want to open the distribution page?,新版本 ({0}) 可用。\n是否打开发布页面？,新版本 ({0}) 可用。\n是否開啟發佈頁面？,새 버전 ({0})을 사용할 수 있습니다.\n배포 페이지를 여시겠습니까?,Hay una nueva versión ({0}) disponible.\n¿Desea abrir la página de distribución?,يتوفر إصدار جديد ({0}).\nهل تريد فتح صفحة التوزيع؟,Versi baru ({0}) tersedia.\nBuka halaman distribusi?,
RenderQuality,Setting Label,描画品質,Render Quality,渲染质量,渲染品質,렌더링 품질,Calidad de renderizado,جودة التصيير,Kualitas Render,
RenderQuality_Desc,Setting Description,3Dモデルの描画品質を設定します。高いほど綺麗ですが負荷が増えます。,Sets the rendering quality of the 3D model. Higher quality increases load.,设置3D模型的渲染质量。质量越高，负载越大。,設定3D模型的渲染品質。品質越高，負載越大。,3D 모델의 렌더링 품질을 설정합니다. 높을수록 깨끗하지만 부하가 증가합니다.,Establece la calidad de renderizado del modelo 3D. Mayor calidad aumenta la carga.,يحدد جودة تصيير النموذج ثلاثي الأبعاد. الجودة الأعلى تزيد الحمل.,Mengatur kualitas render model 3D. Kualitas lebih tinggi meningkatkan beban.,
RenderQuality_High,Enum Value,高品質 (2x SSAA),High (2x SSAA),高质量 (2x SSAA),高品質 (2x SSAA),고품질 (2x SSAA),Alta (2x SSAA),عالية (2x SSAA),Tinggi (2x SSAA),
RenderQuality_Standard,Enum Value,標準,Standard,标准,標準,표준,Estándar,قياسي,Standar,
RenderQuality_Low,Enum Value,低品質,Low,低质量,低品質,저품질,Baja,منخفضة,Rendah,
Button_Setting,Button Tooltip,設定,Settings,设置,設定,설정,Configuración,إعدادات,Pengaturan,
Button_Layer,Button Tooltip,レイヤー,Layers,图层,圖層,레이어,Capas,طبقات,Layer,
Button_Split,Button Tooltip,分解,Split,分解,分解,분해,Dividir,إنقسام,Membagi,
SplitWindow_Title,Window Title,分解,Split,分解,分解,분해,Dividir,إنقسام,Membagi,
SplitWindow_Parts,,パーツ一覧,Parts List,部件列表,部件列表,부품 목록,Lista de piezas,قائمة الأجزاء,Daftar Bagian,
SplitWindow_All,,全て,All,全部,全部,전체,Todo,الجميع,Semua,
SplitWindow_PartName,,パーツ {0},Part {0},部件 {0},部件 {0},부품 {0},Pieza {0},الجزء {0},Bagian {0},
SplitWindow_Faces,Detail Label,ポリゴン数: {0},Polygons: {0},面数: {0},面數: {0},폴리곤 수: {0},Polígonos: {0},مضلعات: {0},Poligon: {0},
SplitWindow_AddToLayer,Add to Layer,レイヤーに追加,Add to Layer,添加至图层,添加至圖層,레이어에 추가,Añadir a capa,إضافة إلى طبقة,Tambahkan ke Layer,
Button_CenterPoint,Button Tooltip,回転中心,Rotation Center,旋转中心,旋轉中心,회전 중심,Centro de rotación,مركز الدوران,Pusat Rotasi,
Window_CenterPoint,Window Title,回転中心設定,Rotation Center Settings,旋转中心设置,旋轉中心設定,회전 중심 설정,Configuración del centro de rotación,إعدادات مركز الدوران,Pengaturan Pusat Rotasi,
Msg_CenterPointDesc,Description,選択したレイヤーの回転中心座標を設定します。,Sets the rotation center coordinates for the selected layer.,设置所选图层的旋转中心坐标。,設定所選圖層的旋轉中心座標。,선택한 레이어의 회전 중심 좌표를 설정합니다.,Establece las coordenadas del centro de rotación para la capa seleccionada.,يحدد إحداثيات مركز الدوران للطبقة المحددة.,Mengatur koordinat pusat rotasi untuk layer yang dipilih.,
Group_Selection,Group Title,3D選択,3D Selection,3D选择,3D選擇,3D 선택,Selección 3D,تحديد ثلاثي الأبعاد,Pilihan 3D,
Msg_HoverInfo,Info,3Dビュー上で頂点・辺・面をマウスでなぞると自動認識します。,Automatically recognizes vertices, edges, and faces when hovering over them in the 3D view.,在3D视图中鼠标悬停时自动识别顶点、边和面。,在3D視圖中滑鼠懸停時自動識別頂點、邊和面。,3D 뷰에서 마우스를 가져가면 정점, 가장자리, 면을 자동으로 인식합니다.,Reconoce automáticamente vértices, bordes y caras al pasar el ratón sobre ellos en la vista 3D.,يتعرف تلقائيًا على القمم والحواف والوجوه عند تحريك مؤشر الماوس فوقها في العرض ثلاثي الأبعاد.,Secara otomatis mengenali simpul, tepi, dan wajah saat mengarahkan kursor ke atasnya dalam tampilan 3D.,
Button_ApplySelection,Button,検出した座標を適用,Apply Detected Coordinates,应用检测到的坐标,應用檢測到的座標,감지된 좌표 적용,Aplicar coordenadas detectadas,تطبيق الإحداثيات المكتشفة,Terapkan Koordinat yang Terdeteksi,
State_None,State,なし,None,无,無,없음,Ninguno,لا شيء,Tidak ada,
Dialog_Close,Button,閉じる,Close,关闭,關閉,닫기,Cerrar,إغلاق,Tutup,
State_Scanning,State,スキャン中...,Scanning...,扫描中...,掃描中...,스캔 중...,Escaneando...,مسح...,Memindai...,
State_Locked,State,ロック中,Locked,已锁定,已鎖定,잠김,Bloqueado,مقفل,Terkunci,
Mode_Vertex,Mode,頂点,Vertex,顶点,頂點,정점,Vértice,قمة,Titik Sudut,
Mode_Edge,Mode,辺,Edge,边,邊,모서리,Borde,حافة,Tepi,
Mode_Face,Mode,面,Face,面,면,Cara,وجه,Wajah,
Layer_Rename,Double click to rename,ダブルクリックで名前を変更,Double click to rename,双击重命名,雙擊重新命名,더블 클릭하여 이름 변경,Doble clic para renombrar,انقر نقرًا مزدوجًا لإعادة التسمية,Klik dua kali untuk mengganti nama,
Layer_Visibility_Show,Show,表示する,Show,显示,顯示,표시,Mostrar,إظهار,Tampilkan,
Layer_Visibility_Hide,Hide,非表示にする,Hide,隐藏,隱藏,숨기기,Ocultar,إخفاء,Sembunyikan,
Layer_PartName,Part Name,パーツ {0},Part {0},部件 {0},部件 {0},부품 {0},Pieza {0},جزء {0},Bagian {0},
Menu_File,Menu File,ファイル,File,文件,檔案,파일,Archivo,ملف,File,
Menu_Open,Menu Item,開く,Open,打开,開啟,열기,Abrir,فتح,Buka,
Menu_Save,Menu Item,上書き保存,Save,保存,儲存,저장,Guardar,حفظ,Simpan,
Menu_SaveAs,Menu Item,名前を付けて保存,Save As,另存为,另存新檔,다른 이름으로 저장,Guardar como,حفظ باسم,Simpan Sebagai,
Menu_Exit,Menu Item,閉じる,Close,关闭,關閉,닫기,Cerrar,إغلاق,Tutup,
Menu_Edit,Menu Group,編集,Edit,编辑,編輯,편집,Editar,تحرير,Edit,
Menu_Undo,Menu Item,元に戻す,Undo,撤销,復原,실행 취소,Deshacer,تراجع,Undo,
Menu_Redo,Menu Item,やり直し,Redo,重做,重做,다시 실행,Rehacer,إعادة,Redo,
Msg_ProjectFileFilter,Message,カメラプロジェクトファイル,Camera Project File,相机项目文件,相機專案檔,카메라 프로젝트 파일,Archivo de proyecto de cámara,ملف مشروع الكاميرا,File Proyek Kamera,
Msg_FailedToLoad,Message,読み込みに失敗しました: {0},Failed to load: {0},加载失败: {0},載入失敗: {0},로드 실패: {0},Error al cargar: {0},فشل التحميل: {0},Gagal memuat: {0},
Msg_FailedToSave,Message,保存に失敗しました: {0},Failed to save: {0},保存失败: {0},儲存失敗: {0},저장 실패: {0},Error al guardar: {0},فشل الحفظ: {0},Gagal menyimpan: {0},
LightType,Light Type,ライトの種類,Light Type,灯光类型,燈光類型,조명 유형,Tipo de luz,نوع الضوء,Jenis Cahaya,
LightType_Point,Enum Value,ポイント,Point,点光,點光,포인트,Punto,نقطة,Titik,
