Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
VertexCountExceeded,Error: too many vertices. {0}=filename {1}=actual {2}=limit,"{0} の頂点数 ({1}) が制限 ({2}) を超えています。モデル設定で制限値を変更できます。","{0} vertex count ({1}) exceeds the limit ({2}). You can change the limit in Model Settings.","文件 {0} 的顶点数 ({1}) 超过了限制 ({2})。您可以在模型设置中更改限制。","檔案 {0} 的頂點數 ({1}) 超過了限制 ({2})。您可以在模型設定中變更限制。","파일 {0}의 정점 수 ({1})가 제한 ({2})을 초과합니다. 모델 설정에서 제한을 변경할 수 있습니다.","El archivo {0} tiene {1} vértices, superando el límite de {2}. Puede cambiar el límite en Configuración del modelo.","عدد رؤوس الملف {0} ‏({1}) يتجاوز الحد ({2}). يمكنك تغيير الحد في إعدادات النموذج.","Jumlah vertex file {0} ({1}) melebihi batas ({2}). Anda dapat mengubah batas di Pengaturan Model.",
IndexCountExceeded,Error: too many indices. {0}=filename {1}=actual {2}=limit,"{0} のインデックス数 ({1}) が制限 ({2}) を超えています。モデル設定で制限値を変更できます。","{0} index count ({1}) exceeds the limit ({2}). You can change the limit in Model Settings.","文件 {0} 的索引数 ({1}) 超过了限制 ({2})。您可以在模型设置中更改限制。","檔案 {0} 的索引數 ({1}) 超過了限制 ({2})。您可以在模型設定中變更限制。","파일 {0}의 인덱스 수 ({1})가 제한 ({2})을 초과합니다. 모델 설정에서 제한을 변경할 수 있습니다.","El archivo {0} tiene {1} índices, superando el límite de {2}. Puede cambiar el límite en Configuración del modelo.","عدد فهارس الملف {0} ‏({1}) يتجاوز الحد ({2}). يمكنك تغيير الحد في إعدادات النموذج.","Jumlah indeks file {0} ({1}) melebihi batas ({2}). Anda dapat mengubah batas di Pengaturan Model.",
PartCountExceeded,Error: too many parts. {0}=filename {1}=actual {2}=limit,"{0} のパート数 ({1}) が制限 ({2}) を超えています。モデル設定で制限値を変更できます。","{0} part count ({1}) exceeds the limit ({2}). You can change the limit in Model Settings.","文件 {0} 的部件数 ({1}) 超过了限制 ({2})。您可以在模型设置中更改限制。","檔案 {0} 的部件數 ({1}) 超過了限制 ({2})。您可以在模型設定中變更限制。","파일 {0}의 파트 수 ({1})가 제한 ({2})을 초과합니다. 모델 설정에서 제한을 변경할 수 있습니다.","El archivo {0} tiene {1} partes, superando el límite de {2}. Puede cambiar el límite en Configuración del modelo.","عدد أجزاء الملف {0} ‏({1}) يتجاوز الحد ({2}). يمكنك تغيير الحد في إعدادات النموذج.","Jumlah bagian file {0} ({1}) melebihi batas ({2}). Anda dapat mengubah batas di Pengaturan Model.",
SandboxBlocked,Error: sandbox blocked file access. {0}=filepath,"{0} へのアクセスがサンドボックスによりブロックされました。モデル設定で許可ディレクトリを追加してください。","Access to {0} was blocked by sandbox. Please add an allowed directory in Model Settings.","沙箱阻止了对 {0} 的访问。请在模型设置中添加允许的目录。","沙箱阻止了對 {0} 的存取。請在模型設定中新增允許的目錄。","샌드박스에 의해 {0}에 대한 접근이 차단되었습니다. 모델 설정에서 허용 디렉토리를 추가하세요.","El sandbox bloqueó el acceso a {0}. Agregue un directorio permitido en Configuración del modelo.","تم حظر الوصول إلى {0} بواسطة وضع الحماية. يرجى إضافة دليل مسموح به في إعدادات النموذج.","Akses ke {0} diblokir oleh sandbox. Silakan tambahkan direktori yang diizinkan di Pengaturan Model.",
ResetValue,Reset value,値をリセット,Reset value,重置值,重設值,값 초기화,Restablecer valor,إعادة تعيين القيمة,Atur ulang nilai,
ResetResourceLimits,Reset resource limits,リソース制限をリセット,Reset resource limits,重置资源限制,重設資源限制,리소스 제한 초기화,Restablecer límites de recursos,إعادة تعيين حدود الموارد,Atur ulang batas sumber daya,
ResetComplexityLimits,Reset complexity limits,複雑度制限をリセット,Reset complexity limits,重置复杂性限制,重設複雜性限制,복잡성 제한 초기화,Restablecer límites de complejidad,إعادة تعيين حدود التعقيد,Atur ulang batas kompleksitas,
ResetAuditSettings,Reset audit settings,監査設定をリセット,Reset audit settings,重置审核设置,重設審核設定,감사 설정 초기화,Restablecer configuración de auditoría,إعادة تعيين إعدادات التدقيق,Atur ulang pengaturan audit,
Title_LoadError,Title for texture loading error dialogs,テクスチャ読み込みエラー,Texture Load Error,纹理加载错误,紋理載入錯誤,텍스처 로드 오류,Error de Carga de Textura,خطأ في تحميل الملمس,Kesalahan Memuat Tekstur,
Error_DdsInvalidMagic,DDS magic number is incorrect,DDSファイルが無効です (Magic Number 不正),Invalid DDS file (Incorrect Magic Number),DDS文件无效（幻数错误）,無效的DDS檔案（Magic Number 不正確）,유효하지 않은 DDS 파일 (매직 넘버 오류),Archivo DDS inválido (Número mágico incorrecto),ملف DDS غير صالح (رقم سحري غير صحيح),File DDS tidak valid (Nomor Magic salah),
Error_DdsInvalidHeaderSize,DDS header size is incorrect,DDSヘッダーサイズが不正です,Invalid DDS header size,DDS标头大小不正确,DDS標頭大小不正確,DDS 헤더 크기가 잘못되었습니다,Tamaño de encabezado DDS incorrecto,حجم رأس DDS غير صحيح,Ukuran header DDS salah,
Error_DdsCompressedNotSupported,Specific compressed DDS format is not supported,圧縮DDS形式はCPUデコードでサポートされていません: {0},Compressed DDS format not supported for CPU decoding: {0},不支持CPU解码的压缩DDS格式：{0},不支援CPU解碼的壓縮DDS格式：{0},CPU 디코딩에 지원되지 않는 압축 DDS 형식: {0},Formato DDS comprimido no compatible para decodificación CPU: {0},تنسيق DDS المضغوط غير مدعوم لفك تشفير وحدة المعالجة المركزية: {0},Format DDS terkompresi tidak didukung untuk decoding CPU: {0},
Error_DdsFormatNotSupported,Generic DDS format unsupported,このDDS形式はサポートされていません (RGB/RGBAのみ),Unsupported DDS format (Only RGB/RGBA),不支持的DDS格式（仅RGB/RGBA）,不支援的DDS格式（僅RGB/RGBA）,지원되지 않는 DDS 형식 (RGB/RGBA 만 해당),Formato DDS no compatible (Solo RGB/RGBA),تنسيق DDS غير مدعوم (RGB/RGBA فقط),Format DDS tidak didukung (Hanya RGB/RGBA),
Error_DdsBitDepthNotSupported,DDS bit depth is not 24 or 32,DDSビット深度がサポートされていません (24/32bitのみ),Unsupported DDS bit depth (Only 24/32-bit),不支持的DDS位深度（仅24/32位）,不支援的DDS位元深度（僅24/32位元）,지원되지 않는 DDS 비트 심도 (24/32 비트 만 해당),Profundidad de bits DDS no compatible (Solo 24/32-bit),عمق بت DDS غير مدعوم (فقط 24/32 بت),Kedalaman bit DDS tidak didukung (Hanya 24/32-bit),
Error_DdsDataReadFailed,Generic failure reading DDS pixel data,DDSピクセルデータの読み込みに失敗しました,Failed to read DDS pixel data,读取DDS像素数据失败,讀取DDS像素數據失敗,DDS 픽셀 데이터를 읽지 못했습니다,Error al leer datos de píxeles DDS,فشل في قراءة بيانات بكسل DDS,Gagal membaca data piksel DDS,
Error_PsdInvalidSignature,PSD signature is incorrect,PSDファイルが無効です (Signature 不正),Invalid PSD file (Incorrect Signature),PSD文件无效（签名错误）,無效的PSD檔案（簽名不正確）,유효하지 않은 PSD 파일 (서명 오류),Archivo PSD inválido (Firma incorrecta),ملف PSD غير صالح (توقيع غير صحيح),File PSD tidak valid (Tanda tangan salah),
Error_PsdVersionNotSupported,PSD version is not 1,PSDバージョンがサポートされていません (Version 1のみ),Unsupported PSD version (Only Version 1),不支持的PSD版本（仅版本1）,不支援的PSD版本（僅版本1）,지원되지 않는 PSD 버전 (버전 1 만 해당),Versión PSD no compatible (Solo Versión 1),إصدار PSD غير مدعوم (الإصدار 1 فقط),Versi PSD tidak didukung (Hanya Versi 1),
Error_PsdColorModeNotSupported,PSD color mode is not RGB,PSDカラーモードがサポートされていません (RGBのみ),Unsupported PSD color mode (Only RGB),不支持的PSD颜色模式（仅RGB）,不支援的PSD顏色模式（僅RGB）,지원되지 않는 PSD 색상 모드 (RGB 만 해당),Modo de color PSD no compatible (Solo RGB),وضع ألوان PSD غير مدعوم (RGB فقط),Mode warna PSD tidak didukung (Hanya RGB),
Error_PsdBitDepthNotSupported,PSD bit depth is not 8,PSDビット深度がサポートされていません (8bitのみ),Unsupported PSD bit depth (Only 8-bit),不支持的PSD位深度（仅8位）,不支援的PSD位元深度（僅8位元）,지원되지 않는 PSD 비트 심도 (8 비트 만 해당),Profundidad de bits PSD no compatible (Solo 8-bit),عمق بت PSD غير مدعوم (8 بت فقط),Kedalaman bit PSD tidak didukung (Hanya 8-bit),
Error_PsdInsufficientChannels,PSD has fewer than 3 channels,PSDチャンネル数が不足しています (3以上必須),Insufficient PSD channels (Minimum 3),PSD通道不足（至少3个）,PSD通道不足（至少3個）,PSD 채널 부족 (최소 3 개),Canales PSD insuficientes (Mínimo 3),قنوات PSD غير كافية (الحد الأدنى 3),Saluran PSD tidak cukup (Minimal 3),
Error_PsdCompressionNotSupported,PSD compression is neither Raw nor RLE,PSD圧縮形式がサポートされていません,Unsupported PSD compression format,不支持的PSD压缩格式,不支援的PSD壓縮格式,지원되지 않는 PSD 압축 형식,Formato de compresión PSD no compatible,تنسيق ضغط PSD غير مدعوم,Format kompresi PSD tidak didukung,
Error_DimensionsInvalid,Dimensions are zero or negative,画像サイズが無効です,Invalid image dimensions,图像尺寸无效,圖像尺寸無效,이미지 크기가 잘못되었습니다,Dimensiones de imagen no válidas,أبعاد الصورة غير صالحة,Dimensi gambar tidak valid,
Error_DimensionsTooLarge,Dimensions exceed memory limits,画像サイズが大きすぎて読み込めません,Image dimensions too large for memory,图像尺寸过大，无法加载,圖像尺寸過大，無法載入,이미지 크기가 너무 커서 로드할 수 없습니다,Dimensiones de imagen demasiado grandes para la memoria,أبعاد الصورة كبيرة جدًا بالنسبة للذاكرة,Dimensi gambar terlalu besar untuk memori,
Dashboard,Dashboard section header,リソースダッシュボード,Resource Dashboard,资源仪表盘,資源儀表板,리소스 대시보드,Panel de recursos,لوحة الموارد,Dasbor Sumber Daya,
EstimatedMemoryMB,Estimated memory usage label,推定メモリ使用量 (MB):,Estimated Memory (MB):,估计内存使用量 (MB):,估計記憶體使用量 (MB):,예상 메모리 사용량 (MB):,Memoria estimada (MB):,:الذاكرة المقدرة (ميجابايت),Estimasi Memori (MB):,
GpuCacheEntries,GPU cache entry count label,GPUキャッシュエントリ数:,GPU Cache Entries:,GPU缓存条目数:,GPU快取條目數:,GPU 캐시 항목 수:,Entradas de caché GPU:,:إدخالات ذاكرة التخزين المؤقت GPU,Entri Cache GPU:,
TotalGpuMemoryMB,Total GPU cache memory label,GPUキャッシュ合計 (MB):,GPU Cache Total (MB):,GPU缓存总量 (MB):,GPU快取總量 (MB):,GPU 캐시 합계 (MB):,Total caché GPU (MB):,:إجمالي ذاكرة التخزين المؤقت GPU (ميجابايت),Total Cache GPU (MB):,
LastUpdated,Last updated timestamp label,最終更新:,Last Updated:,最后更新:,最後更新:,마지막 업데이트:,Última actualización:,:آخر تحديث,Terakhir Diperbarui:,
MemoryGraph,Memory graph section header,メモリ推移グラフ,Memory Usage Graph,内存使用图表,記憶體使用圖表,메모리 사용 그래프,Gráfico de memoria,رسم بياني للذاكرة,Grafik Penggunaan Memori,
TrackerMemory,Graph legend - tracker memory,トラッカー (MB),Tracker (MB),跟踪器 (MB),追蹤器 (MB),트래커 (MB),Rastreador (MB),(المتتبع (ميجابايت,Pelacak (MB),
GpuCacheMemory,Graph legend - GPU cache memory,GPUキャッシュ (MB),GPU Cache (MB),GPU缓存 (MB),GPU快取 (MB),GPU 캐시 (MB),Caché GPU (MB),(ذاكرة التخزين المؤقت GPU (ميجابايت,Cache GPU (MB),
ResourceActions,Resource actions section header,リソース操作,Resource Actions,资源操作,資源操作,리소스 작업,Acciones de recursos,إجراءات الموارد,Tindakan Sumber Daya,
ClearGpuCache,Clear GPU cache button,GPUキャッシュクリア,Clear GPU Cache,清除GPU缓存,清除GPU快取,GPU 캐시 지우기,Limpiar caché GPU,مسح ذاكرة التخزين المؤقت GPU,Bersihkan Cache GPU,
ForceDisposeLeak,Force dispose leaked resources button,リーク強制解放,Force Dispose Leaked,强制释放泄漏,強制釋放洩漏,누출 강제 해제,Forzar liberación de fugas,فرض التخلص من التسريبات,Paksa Buang Kebocoran,
ResetAllResources,Reset all resources button,全リソースリセット,Reset All Resources,重置所有资源,重置所有資源,모든 리소스 재설정,Restablecer todos los recursos,إعادة تعيين جميع الموارد,Reset Semua Sumber Daya,
CopyToClipboard,Copy to clipboard tooltip,クリップボードにコピー,Copy to Clipboard,复制到剪贴板,複製到剪貼簿,클립보드에 복사,Copiar al portapapeles,نسخ إلى الحافظة,Salin ke Papan Klip,
CopiedToClipboard,Copied confirmation message,コピーしました,Copied to clipboard,已复制到剪贴板,已複製到剪貼簿,클립보드에 복사됨,Copiado al portapapeles,تم النسخ إلى الحافظة,Disalin ke papan klip,
GpuCacheManagement,GPU cache management section header,GPUキャッシュ管理,GPU Cache Management,GPU缓存管理,GPU快取管理,GPU 캐시 관리,Gestión de caché GPU,إدارة ذاكرة التخزين المؤقت GPU,Manajemen Cache GPU,
GpuCacheFileHeader,DataGrid header - file name,ファイル,File,文件,檔案,파일,Archivo,ملف,File,
GpuCacheMemoryHeader,DataGrid header - GPU memory,GPU メモリ (MB),GPU Memory (MB),GPU内存 (MB),GPU記憶體 (MB),GPU 메모리 (MB),Memoria GPU (MB),(ذاكرة GPU (ميجابايت,Memori GPU (MB),
GpuCachePartsHeader,DataGrid header - parts count,パーツ数,Parts,部件数,部件數,파트 수,Partes,أجزاء,Bagian,
RemoveSelected,Remove selected item button,選択を削除,Remove Selected,删除选中,刪除選中,선택 항목 삭제,Eliminar seleccionado,إزالة المحدد,Hapus Terpilih,
ClearAll,Clear all items button,すべてクリア,Clear All,清除全部,清除全部,전체 지우기,Limpiar todo,مسح الكل,Bersihkan Semua,
ConfirmClearGpuCache,Confirmation for clearing GPU cache,GPUキャッシュを全てクリアしますか？モデルの再読み込みが必要になります。,Clear all GPU cache? Models will need to be reloaded.,清除所有GPU缓存？需要重新加载模型。,清除所有GPU快取？需要重新載入模型。,모든 GPU 캐시를 지우시겠습니까? 모델을 다시 로드해야 합니다.,¿Limpiar toda la caché GPU? Los modelos deberán recargarse.,مسح كل ذاكرة التخزين المؤقت GPU؟ سيحتاج إعادة تحميل النماذج.,Bersihkan semua cache GPU? Model perlu dimuat ulang.,
ConfirmResetAll,Confirmation for resetting all resources,全リソースをリセットしますか？GPUキャッシュ、プール、リークリソースが解放されます。,Reset all resources? GPU cache; pools; and leaked resources will be released.,重置所有资源？GPU缓存、池和泄漏资源将被释放。,重置所有資源？GPU快取、池和洩漏資源將被釋放。,모든 리소스를 재설정하시겠습니까? GPU 캐시; 풀 및 누출된 리소스가 해제됩니다.,¿Restablecer todos los recursos? La caché GPU; pools y recursos filtrados serán liberados.,إعادة تعيين جميع الموارد؟ سيتم تحرير ذاكرة التخزين المؤقت GPU والتجمعات والموارد المسربة.,Reset semua sumber daya? Cache GPU; pool; dan sumber daya bocor akan dirilis.,
ConfirmTitle,Confirmation dialog title,確認,Confirmation,确认,確認,확인,Confirmación,تأكيد,Konfirmasi,
DisposedCount,Resource disposed count message. {0}=count,{0} 件のリソースを解放しました。,{0} resource(s) disposed.,已释放 {0} 个资源。,已釋放 {0} 個資源。,{0} 개의 리소스가 해제되었습니다.,{0} recurso(s) liberado(s).,تم التخلص من {0} مورد(موارد).,{0} sumber daya dibuang.,
RefreshGpuCache,Refresh GPU cache list tooltip,GPUキャッシュ一覧を更新,Refresh GPU Cache List,刷新GPU缓存列表,重新整理GPU快取列表,GPU 캐시 목록 새로고침,Actualizar lista de caché GPU,تحديث قائمة ذاكرة التخزين المؤقت GPU,Segarkan Daftar Cache GPU,
D3DResourceReleaseDelay,Setting Label,リソース解放遅延 (秒),Resource Release Delay (sec),资源释放延迟 (秒),資源釋放延遲 (秒),리소스 해제 지연 (초),Retardo de liberación de recursos (seg),تأخير تحرير الموارد (ثانية),Penundaan Rilis Sumber Daya (detik),
D3DResourceReleaseDelay_Desc,Setting Description,使用されなくなったGPUリソースを解放するまでの待機時間を設定します。,Sets the delay time before releasing unused GPU resources.,设置释放未使用的GPU资源之前的延迟时间。,設定釋放未使用的GPU資源之前的延遲時間。,사용하지 않는 GPU 리소스를 해제하기 전의 지연 시간을 설정합니다.,Establece el tiempo de retardo antes de liberar los recursos de GPU no utilizados.,يحدد وقت التأخير قبل تحرير موارد GPU غير المستخدمة.,Mengatur waktu penundaan sebelum melepaskan sumber daya GPU yang tidak digunakan.,
Material_Texture,Setting Label,テクスチャ,Texture,纹理,紋理,텍스처,Textura,الملمس,Tekstur,
Group_Texture,Group Title,テクスチャ,Texture,纹理,紋理,텍스처,Textura,الملمس,Tekstur,
Image_File,Setting Label,画像ファイル,Image File,Image File,Image File,Image File,Image File,Image File,Image File,
CacheManagement,Cache Management,キャッシュ管理,Cache Management,缓存管理,快取管理,캐시 관리,Gestión de caché,إدارة ذاكرة التخزين المؤقت,Manajemen Cache,
CacheLocation,Cache Location,場所,Location,位置,位置,위치,Ubicación,موقع,Lokasi,
CacheSize,Cache Size,サイズ,Size,大小,大小,크기,Tamaño,حجم,Ukuran,
CacheSplit,Cache Split,分割,Split,分割,分割,분할,Dividir,انقسام,Terbagi,
CacheLastAccess,Last Access,最終アクセス,Last Access,最后访问,最後存取,마지막 액세스,Último acceso,آخر وصول,Akses Terakhir,
CleanUpCache,Clean Up Cache,クリーンアップ,Clean Up,清理,清理,정리,Limpiar,تنظيف,Bersihkan,
RemoveCache,Remove Cache,削除,Remove,删除,刪除,삭제,Eliminar,إزالة,Hapus,
MoveCache,Move Cache,移動,Move,移动,移動,이동,Mover,نقل,Pindah,
ConfirmDeleteCache,Confirm Delete Cache,本当に削除しますか？,Delete?,真的要删除吗？,真的要刪除嗎？,정말 삭제하시겠습니까?,¿Eliminar?,هل تريد الحذف حقًا؟,Hapus?,
ConfirmCleanUpCache,Confirm Clean Up Cache,存在しないモデルのキャッシュを全て削除しますか？,Delete all orphaned caches?,删除所有孤立缓存？,刪除所有孤立快取？,모든 고아 캐시를 삭제하시겠습니까?,¿Eliminar todos los cachés huérfanos?,هل تريد حذف جميع ذاكرة التخزين المؤقت اليتيمة؟,Hapus semua cache yatim?,
CacheIndexCorrupted,Cache Index Corrupted,キャッシュインデックスが破損しています。再構築します。,Cache index corrupted. Rebuilding.,缓存索引已损坏。正在重建。,快取索引已損壞。正在重建。,캐시 인덱스가 손상되었습니다. 다시 작성 중입니다.,Índice de caché dañado. Reconstruyendo.,فهرس ذاكرة التخزين المؤقت تالف. إعادة البناء.,Indeks cache rusak. Membangun ulang.,
SplitCacheEnabled,Split Cache Enabled,分割キャッシュ有効,Split Cache Enabled,启用分割缓存,啟用分割快取,분할 캐시 활성화,Caché dividido habilitado,تم تمكين ذاكرة التخزين المؤقت المقسمة,Split Cache Diaktifkan,
OptimizeHdd,Optimize for HDD,HDD向け最適化,Optimize for HDD,针对HDD优化,針對HDD最佳化,HDD 최적화,Optimizar para HDD,تحسين لمحركات الأقراص الصلبة,Optimalkan untuk HDD,
RefreshDiskCache,Refresh Disk Cache,キャッシュ更新,Refresh Disk Cache,刷新磁盘缓存,刷新磁碟快取,디스크 캐시 새로고침,Actualizar caché de disco,تحديث ذاكرة التTخزين المؤقت GPU,Segarkan Daftar Cache GPU,
CacheTypeHddSplit,HDD (Split),HDD (分割),HDD (Split),HDD (分割),HDD (分割),HDD (분할),HDD (Dividido),HDD (مقسم),HDD (Terbagi),
CacheTypeSsdSingle,SSD (Single),SSD (単一),SSD (Single),SSD (单一),SSD (單一),SSD (단일),SSD (Único),SSD (مفرد),SSD (Tunggal),
RelocateCache,UI Label,キャッシュの移動,Relocate Cache,移动缓存,移動快取,캐시 이동,Reubicar caché,نقل ذاكرة التخزين المؤقت,Pindahkan Cache,
OldPath,UI Label,現在のパスPrefix,Current Path Prefix,当前路径前缀,目前路徑前綴,현재 경로 접두사,Prefijo de ruta actual,بادئة المسار الحالي,Awalan Jalur Saat Ini,
NewPath,UI Label,新しいパスPrefix,New Path Prefix,新路径前缀,新路徑前綴,새 경로 접두사,Nuevo prefijo de ruta,بادئة مسار جديد,Awalan Jalur Baru,
ConfirmMoveCache,Message,キャッシュのパスを移動しますか？\nインデックス内のパスが更新されます。\n移動元に物理フォルダが存在する場合、それも移動されます。\n(対象: OldPathで始まるエントリ),Are you sure you want to relocate cache paths?\nPaths in the index will be updated.\nIf the physical folder exists at the source, it will also be moved.\n(Target: Entries starting with OldPath),确定要重新定位缓存路径吗？\n索引中的路径将被更新。\n如果源位置存在物理文件夹，它也将被移动。\n（目标：以OldPath开头的条目）,確定要重新定位快取路徑嗎？\n索引中的路徑將被更新。\n如果來源位置存在實體資料夾，它是也將被移動。\n（目標：以 OldPath 開頭的項目）,캐시 경로를 재배치하시겠습니까?\n인덱스의 경로가 업데이트됩니다.\n원본 위치에 물리적 폴더가 있는 경우 해당 폴더도 이동됩니다.\n(대상: OldPath로 시작하는 항목),¿Está seguro de que desea reubicar las rutas de caché?\nLas rutas en el índice se actualizarán.\nSi existe la carpeta física en el origen, también se moverá.\n(Objetivo: Entradas que comienzan con OldPath),هل أنت متأكد من أنك تريد نقل مسارات التخزين المؤقت؟\nسيتم تحديث المسارات الموجودة في الفهرس.\nإذا كان المجلد الفعلي موجودًا في المصدر، فسيتم نقله أيضًا.\n(الهدف: الإدخالات التي تبدأ بـ OldPath),Apakah Anda yakin ingin memindahkan jalur cache?\nJalur dalam indeks akan diperbarui.\nJika folder fisik ada di sumber, folder tersebut juga akan dipindahkan.\n(Target: Entri dimulai dengan OldPath),
MoveCacheComplete,Message,移動が完了しました。,Relocation completed.,搬迁完成。,搬遷完成。,이전이 완료되었습니다。,Reubicación completada.,تم النقل بنجاح.,Relokasi selesai.,
Convert,UI Button,変換,Convert,转换,轉換,변환,Convertir,تحويل,Ubah,
ConvertCacheDesc,Tooltip,キャッシュ形式を変換します (HDD⇔SSD),Convert cache format (HDD⇔SSD),转换缓存格式 (HDD⇔SSD),轉換快取格式 (HDD⇔SSD),캐시 형식 변환 (HDD⇔SSD),Convertir formato de caché (HDD⇔SSD),تحويل تنسيق ذاكرة التخزين المؤقت (HDD⇔SSD),Ubah format cache (HDD⇔SSD),
MovePhysicalFailed,Error,物理フォルダの移動に失敗しました。アクセス権限や重複を確認してください。\n(キャッシュ移動処理は継続されます),Failed to move physical folder. Check permissions or duplicates.\n(Cache relocation functionality continues),无法移动物理文件夹。请检查权限或重复项。\n（缓存重新定位功能将继续）,無法移動實體資料夾。請檢查權限或重複項目。\n（快取重新定位功能將繼續）,물리적 폴더를 이동하지 못했습니다. 액세스 권한이나 중복을 확인하십시오.\n(캐시 재배치 기능은 계속됩니다),Error al mover la carpeta física. Compruebe los permisos o duplicados.\n(La funcionalidad de reubicación de caché continúa),فشل في نقل المجلد الفعلي. تحقق من الأذونات أو التكرارات.\n(ستستمر وظيفة إعادة تحديد موقع ذاكرة التخزين المؤقت),Gagal memindahkan folder fisik. Periksa izin atau duplikat.\n(Fungsi relokasi cache berlanjut),
ErrorTitle,Message Box Title,エラー,Error,错误,錯誤,오류,Error,خطأ,Kesalahan,
CacheIndexDeserializationFailed,Warning,キャッシュインデックスの読み込みに失敗しました。インデックスを再構築します。,Failed to load cache index. Rebuilding index.,缓存索引加载失败。正在重建索引。,快取索引載入失敗。正在重建索引。,캐시 인덱스 로드 실패. 인덱스를 다시 작성합니다.,Error al cargar el índice de caché. Reconstruyendo el índice.,فشل تحميل فهرس ذاكرة التخزين المؤقت. إعادة بناء الفهرس.,Gagal memuat indeks cache. Membangun ulang indeks.,
CacheDeleteFailed,Warning,キャッシュの削除に失敗しました: {0},Failed to delete cache: {0},删除缓存失败: {0},刪除快取失敗: {0},캐시 삭제 실패: {0},Error al eliminar la caché: {0},فشل حذف ذاكرة التخزين المؤقت: {0},Gagal menghapus cache: {0},
CacheCleanUpFailed,Warning,キャッシュのクリーンアップ中にエラーが発生しました: {0},Error during cache cleanup: {0},缓存清理时出错: {0},快取清理時發生錯誤: {0},캐시 정리 중 오류 발생: {0},Error durante la limpieza de la caché: {0},خطأ أثناء تنظيف ذاكرة التخزين المؤقت: {0},Terjadi kesalahan saat membersihkan cache: {0},
CacheMoveFailed,Warning,キャッシュの移動に失敗しました: {0},Failed to move cache: {0},移动缓存失败: {0},移動快取失敗: {0},캐시 이동 실패: {0},Error al mover la caché: {0},فشل نقل ذاكرة التخزين المؤقت: {0},Gagal memindahkan cache: {0},
CacheMoveRollbackFailed,Warning,キャッシュ移動のロールバックに失敗しました: {0},Failed to rollback cache move: {0},缓存移动回滚失败: {0},快取移動回滾失敗: {0},캐시 이동 롤백 실패: {0},Error al revertir la reubicación de la caché: {0},فشل التراجع عن نقل ذاكرة التخزين المؤقت: {0},Gagal membatalkan pemindahan cache: {0},
CacheConvertFailed,Warning,キャッシュの変換に失敗しました: {0},Failed to convert cache: {0},缓存转换失败: {0},快取轉換失敗: {0},캐시 변환 실패: {0},Error al convertir la caché: {0},فشل تحويل ذاكرة التخزين المؤقت: {0},Gagal mengubah cache: {0},
CacheEntryLimitReached,Warning,キャッシュエントリが上限 ({0}) に達したため、古いエントリを削除しました。,Cache entry limit ({0}) reached. Old entries have been removed.,缓存条目达到上限 ({0})，已删除旧条目。,快取條目達到上限 ({0})，已刪除舊條目。,캐시 항목이 제한 ({0})에 도달하여 오래된 항목을 삭제했습니다.,Límite de entradas de caché ({0}) alcanzado. Se eliminaron las entradas antiguas.,وصلت إدخالات ذاكرة التخزين المؤقت إلى الحد الأقصى ({0}). تم حذف الإدخالات القديمة.,Batas entri cache ({0}) tercapai. Entri lama telah dihapus.,
DiskTypeDetectionFailed,Warning,ディスクタイプの検出に失敗しました: {0},Failed to detect disk type: {0},磁盘类型检测失败: {0},磁碟類型檢測失敗: {0},디스크 유형 감지 실패: {0},Error al detectar el tipo de disco: {0},فشل اكتشاف نوع القرص: {0},Gagal mendeteksi jenis disk: {0},
InitializationFailed,Warning,初期化に失敗しました: {0},Initialization failed: {0},初始化失败: {0},初始化失敗: {0},초기화 실패: {0},Error de inicialización: {0},فشل التهيئة: {0},Inisialisasi gagal: {0},